country,date,ranking,points
United Arab Emirates,2025-10-17,67,1379.93
United Arab Emirates,2025-11-19,67,1369.71
United States,2024-02-15,13,1661.70
United States,2024-04-04,11,1681.13
United States,2024-10-24,18,1630.97
United States,2025-04-03,16,1648.81
United States,2025-07-10,15,1671.04
United States,2025-09-18,16,1670.04
United States,2025-10-17,16,1673.49
United States,2026-01-19,15,1681.88
Uruguay,2024-02-15,11,1665.99
Uruguay,2024-04-04,15,1659.39
Uruguay,2024-10-24,14,1680.36
Uruguay,2025-04-03,13,1679.49
Uruguay,2025-07-10,16,1670.76
Uruguay,2025-09-18,15,1673.65
Uruguay,2025-10-17,15,1677.57
Uruguay,2026-01-19,17,1672.62
Uzbekistan,2024-02-15,66,1376.50
Uzbekistan,2024-04-04,64,1386.58
Uzbekistan,2024-10-24,58,1429.26
Uzbekistan,2024-12-19,58,1424.93
Uzbekistan,2025-04-03,57,1437.02
Uzbekistan,2025-09-18,54,1453.31
Uzbekistan,2025-10-17,55,1452.34
Uzbekistan,2026-01-19,52,1462.03
Venezuela,2024-02-15,52,1447.20
Venezuela,2024-04-04,54,1442.29
Venezuela,2024-10-24,44,1482.47
Venezuela,2025-04-03,47,1476.84
Venezuela,2025-07-10,46,1477.02
Venezuela,2025-09-18,49,1465.02
Venezuela,2025-10-17,50,1463.27
Venezuela,2026-01-19,50,1465.22
Wales,2024-02-15,29,1521.88
Wales,2024-04-04,29,1531.38
Wales,2024-10-24,29,1528.96
Wales,2025-04-03,29,1535.57
Wales,2025-07-10,31,1528.93
Wales,2025-09-18,30,1529.09
Wales,2026-01-19,35,1529.71
Zambia,2024-02-15,87,1275.71
Zambia,2024-04-04,86,1278.26
Zambia,2024-10-24,94,1251.84
Zambia,2025-10-17,87,1268.6
Zambia,2025-12-22,91,1258.4
Zambia,2026-01-19,91,1256.68
Zimbabwe,2024-02-15,124,1144.56
Zimbabwe,2024-04-04,122,1143.66
Zimbabwe,2024-10-24,117,1162.48
Zimbabwe,2025-09-18,125,1133.75
Zimbabwe,2025-10-17,129,1125.55
Zimbabwe,2025-12-22,129,1123.69
